City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bengkulu,ID,-3.8004,102.2655,76.42,86,100,8.41,light rain
79,Saint-Joseph,RE,-21.3667,55.6167,77.38,77,95,10.96,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,100,18.41,light snow
81,Carnarvon,AU,-24.8667,113.6333,75.27,69,100,21.85,overcast clouds
82,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,62,0,19.57,clear sky
83,Ferkessedougou,CI,9.6,-5.2,89.53,11,3,4.0,clear sky
84,Noyabrsk,RU,63.1994,75.4507,-11.94,100,64,8.77,broken clouds
85,Halifax,CA,44.6453,-63.5724,20.21,72,0,1.99,clear sky
86,Lac Du Bonnet,CA,50.2536,-96.0612,-2.42,87,92,6.02,overcast clouds
87,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,scattered clouds
88,Punta Arenas,CL,-53.15,-70.9167,69.91,49,75,16.11,broken clouds
89,Kapaa,US,22.0752,-159.319,73.72,84,75,11.5,broken clouds
90,Katsuura,JP,35.1333,140.3,37.51,46,84,9.53,broken clouds
91,Maniitsoq,GL,65.4167,-52.9,3.96,72,100,14.61,overcast clouds
92,Vanimo,PG,-2.6741,141.3028,77.32,88,93,5.19,overcast clouds
93,Atuona,PF,-9.8,-139.0333,78.75,73,10,20.15,clear sky
94,Gasa,PS,31.5,34.4667,55.38,72,1,4.52,clear sky
95,Vaini,TO,-21.2,-175.2,75.36,94,100,12.66,light rain
96,Asau,RO,46.4333,26.4,41.4,66,100,6.11,overcast clouds
97,Edson,CA,53.5835,-116.4356,46.54,42,0,14.97,clear sky
98,Tongchuan,CN,35.0806,109.0897,22.28,89,100,5.17,overcast clouds
99,Bethel,US,41.3712,-73.414,29.1,56,0,1.99,clear sky
100,Zhigansk,RU,66.7697,123.3711,-25.56,99,96,6.49,overcast clouds
101,Butaritari,KI,3.0707,172.7902,81.3,77,63,15.21,light rain
102,Antalaha,MG,-14.9003,50.2788,76.8,85,100,4.97,overcast clouds
103,Gazanjyk,TM,39.2446,55.5154,40.44,65,100,4.7,overcast clouds
104,Guilin,CN,25.2819,110.2864,42.91,97,100,5.17,light rain
105,Lumeje,AO,-11.55,20.7833,70.63,72,100,3.09,overcast clouds
106,Saint-Lo,FR,49.1162,-1.0903,52.23,90,100,23.15,overcast clouds
107,Lorengau,PG,-2.0226,147.2712,81.01,79,100,7.58,overcast clouds
108,Iqaluit,CA,63.7506,-68.5145,-32.31,66,20,1.99,few clouds
109,Asfi,MA,32.2994,-9.2372,60.31,75,11,15.82,few clouds
110,Naryan-Mar,RU,67.6713,53.087,9.5,88,100,15.66,overcast clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,58,8.01,broken clouds
112,Songea,TZ,-10.6833,35.65,64.96,85,100,5.19,overcast clouds
113,Tangier,MA,35.7806,-5.8137,60.15,72,20,24.16,few clouds
114,Hithadhoo,MV,-0.6,73.0833,82.47,73,32,12.55,scattered clouds
115,East London,ZA,-33.0153,27.9116,72.54,88,20,12.66,few clouds
116,Shubarshi,KZ,48.5872,57.1869,17.96,95,100,9.37,overcast clouds
117,Clones,IE,54.1833,-7.2333,41.43,77,79,9.82,broken clouds
118,Faanui,PF,-16.4833,-151.75,81.23,76,100,22.79,light rain
119,Zlatoust,RU,55.1711,59.6508,8.2,97,100,3.96,overcast clouds
120,Danielskuil,ZA,-28.1887,23.5395,70.63,54,8,4.12,clear sky
121,Ancud,CL,-41.8697,-73.8203,77.23,67,11,6.17,few clouds
122,Korla,CN,41.7597,86.1469,23.95,46,8,5.08,clear sky
123,Shimoda,JP,34.6667,138.95,36.1,72,50,10.58,scattered clouds
124,Bluff,NZ,-46.6,168.3333,39.79,81,2,4.59,clear sky
125,Kirakira,SB,-10.4544,161.9205,80.85,86,99,7.78,overcast clouds
126,Caravelas,BR,-17.7125,-39.2481,83.34,65,7,10.25,clear sky
127,Kieta,PG,-6.2167,155.6333,79.36,83,100,7.56,overcast clouds
128,Mantua,IT,45.1667,10.7833,48.74,86,96,6.67,overcast clouds
129,Nanortalik,GL,60.1432,-45.2371,15.22,67,100,20.65,overcast clouds
130,Lagoa,PT,39.05,-27.9833,60.19,85,16,12.15,few clouds
131,Sistranda,NO,63.7256,8.834,39.16,64,100,34.31,overcast clouds
132,Chake Chake,TZ,-5.2459,39.7666,79.56,83,100,5.37,overcast clouds
133,Pisco,PE,-13.7,-76.2167,72.01,83,40,10.36,mist
134,Domoni,KM,-12.2569,44.5319,80.73,81,100,4.34,overcast clouds
135,Jalu,LY,29.0331,21.5482,60.94,28,6,4.76,clear sky
136,Yar-Sale,RU,66.8333,70.8333,-13.4,100,89,7.29,overcast clouds
137,Khatanga,RU,71.9667,102.5,-19.57,98,95,8.05,overcast clouds
138,Pevek,RU,69.7008,170.3133,-24.39,99,42,1.66,scattered clouds
139,Niedercorn,LU,49.5361,5.8931,47.35,93,100,5.99,light rain
140,Myre,NO,69.1036,15.9492,33.71,61,100,13.0,overcast clouds
141,Anadyr,RU,64.75,177.4833,-17.9,76,0,8.95,clear sky
142,Barra Do Garcas,BR,-15.89,-52.2567,90.18,58,40,3.89,scattered clouds
143,Athabasca,CA,54.7169,-113.2854,39.02,78,0,14.41,clear sky
144,Isla Aguada,MX,18.7833,-91.4667,71.64,82,40,5.26,scattered clouds
145,Sainte-Maxime,FR,43.3,6.6333,54.0,41,67,21.97,broken clouds
146,Pudozh,RU,61.8099,36.5345,14.27,93,98,7.76,overcast clouds
147,Bilsanda,IN,28.25,79.95,51.4,75,0,2.84,clear sky
148,Umm Lajj,SA,25.0213,37.2685,67.28,49,0,19.57,clear sky
149,Hofn,IS,64.2539,-15.2082,27.0,67,0,16.11,clear sky
150,Hobart,AU,-42.8794,147.3294,53.06,87,5,1.01,clear sky
151,Elko,US,41.0002,-115.5012,35.06,60,4,1.99,clear sky
152,Fairbanks,US,64.8378,-147.7164,-1.7,77,100,0.0,light snow
153,Torbay,CA,47.6666,-52.7314,17.58,81,100,17.27,light snow
154,Quatre Cocos,MU,-20.2078,57.7625,79.09,82,98,11.59,overcast clouds
155,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,86,63,12.8,broken clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,31,0,13.8,clear sky
157,Tarogong,ID,-7.1902,107.8874,69.21,95,100,3.56,overcast clouds
158,Santo Tomas,PH,14.1079,121.1414,77.25,87,99,7.56,overcast clouds
159,Barrow,US,71.2906,-156.7887,-23.78,76,40,6.91,haze
160,Seoul,KR,37.5683,126.9778,20.64,65,0,2.3,clear sky
161,Mana,GF,5.6592,-53.7767,81.79,73,98,7.92,overcast clouds
162,Namibe,AO,-15.1961,12.1522,75.06,69,100,13.47,overcast clouds
163,Kano,NG,12.0001,8.5167,67.89,34,100,5.75,dust
164,Renfrew,GB,55.872,-4.3925,38.16,85,14,10.36,moderate rain
165,Kenai,US,60.5544,-151.2583,20.14,92,0,0.0,clear sky
166,Puerto Colombia,CO,10.9878,-74.9547,89.69,68,0,21.36,clear sky
167,Krasnoselkup,RU,65.7,82.4667,-19.88,100,19,7.81,few clouds
168,Provideniya,RU,64.3833,-173.3,-5.57,84,2,4.03,clear sky
169,Avera,US,33.194,-82.5271,48.9,44,100,9.4,overcast clouds
170,Cabedelo,BR,-6.9811,-34.8339,86.67,62,20,10.45,few clouds
171,Baker City,US,44.7749,-117.8344,51.64,81,29,3.06,scattered clouds
172,Morros,BR,-9.4467,-46.3003,85.24,54,100,2.24,overcast clouds
173,Yinchuan,CN,38.4681,106.2731,20.41,91,83,7.2,broken clouds
174,Kaitangata,NZ,-46.2817,169.8464,43.86,88,10,1.45,clear sky
175,Esperance,AU,-33.8667,121.9,62.44,71,100,23.47,overcast clouds
176,La Ronge,CA,55.1001,-105.2842,-1.95,78,100,8.05,overcast clouds
177,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.28,light snow
178,Chicama,PE,-7.8447,-79.1469,68.54,58,98,10.76,overcast clouds
179,Sambava,MG,-14.2667,50.1667,76.15,89,60,6.58,broken clouds
180,Bougouni,ML,11.417,-7.479,83.46,9,0,3.4,clear sky
181,Pandamatenga,BW,-18.5278,25.627,67.01,77,72,4.85,broken clouds
182,Labuhan,ID,-6.8844,112.2051,77.94,90,100,7.16,overcast clouds
183,Aksarka,RU,66.5606,67.7975,-17.27,100,87,6.53,overcast clouds
184,Henties Bay,NA,-22.116,14.2845,70.86,80,79,9.53,broken clouds
185,Taizhou,CN,32.4933,119.9106,36.9,93,100,8.23,light rain
186,Toribio,CO,2.9548,-76.2684,69.26,90,89,1.99,overcast clouds
187,Vrangel,RU,42.7297,133.0839,13.62,66,3,11.65,clear sky
188,Chenzhou,CN,25.8,113.0333,46.27,97,100,3.94,overcast clouds
189,Saldanha,ZA,-33.0117,17.9442,68.05,95,38,8.63,scattered clouds
190,Oxelosund,SE,58.6706,17.1015,34.18,80,0,5.75,clear sky
191,Santa Leopoldina,BR,-20.1006,-40.5297,85.62,52,6,7.61,clear sky
192,Storforshei,NO,66.4043,14.5233,26.38,68,75,10.36,broken clouds
193,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,67,20,18.99,few clouds
194,Tanout,NE,14.9709,8.8879,67.14,11,0,11.77,clear sky
195,Olmos,PE,-5.9847,-79.7453,89.29,41,98,6.69,overcast clouds
196,Beaverlodge,CA,55.2166,-119.4361,40.35,62,1,18.12,clear sky
197,Bembereke,BJ,10.2283,2.6634,81.84,16,0,4.38,clear sky
198,Tucuman,AR,-26.8241,-65.2226,73.4,60,26,4.61,scattered clouds
199,Koungheul,SN,13.9833,-14.8,91.31,7,0,6.24,clear sky
200,Puerto Escondido,MX,15.85,-97.0667,85.03,74,0,11.5,clear sky
201,Griffith,US,41.5284,-87.4237,34.09,69,0,5.01,clear sky
202,Praia,CV,14.9215,-23.5087,79.34,50,0,17.27,clear sky
203,Albufeira,PT,37.0882,-8.2503,60.64,76,0,4.07,clear sky
204,Kavaratti,IN,10.5669,72.642,78.3,68,62,10.71,broken clouds
