City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ndjole,GA,2022-02-06 15:37:30,-0.1783,10.7649,87.44,57,63,2.37
68,New Norfolk,AU,2022-02-06 15:37:30,-42.7826,147.0587,50.76,64,49,1.32
69,Qaanaaq,GL,2022-02-06 15:37:31,77.484,-69.3632,-12.8,62,73,8.34
70,Hithadhoo,MV,2022-02-06 15:37:31,-0.6,73.0833,82.89,70,28,11.34
71,Hermanus,ZA,2022-02-06 15:37:31,-34.4187,19.2345,84.9,68,8,11.52
72,Rawson,AR,2022-02-06 15:37:31,-43.3002,-65.1023,73.38,38,15,14.25
73,Piacabucu,BR,2022-02-06 15:37:32,-10.4056,-36.4344,87.37,58,13,13.82
74,Castro,BR,2022-02-06 15:37:32,-24.7911,-50.0119,76.26,71,81,8.14
75,Mahajanga,MG,2022-02-06 15:37:32,-15.7167,46.3167,84.22,74,20,14.97
76,Cumberland,US,2022-02-06 15:37:32,35.0502,-78.8664,39.07,52,0,10.36
77,Esperance,AU,2022-02-06 15:37:33,-33.8667,121.9,69.64,82,7,26.06
78,Dikson,RU,2022-02-06 15:37:33,73.5069,80.5464,-22.74,99,70,8.37
79,Busselton,AU,2022-02-06 15:37:33,-33.65,115.3333,56.08,69,71,16.55
80,Longyearbyen,SJ,2022-02-06 15:37:34,78.2186,15.6401,19.24,68,40,17.27
81,Cape Town,ZA,2022-02-06 15:35:00,-33.9258,18.4232,85.12,60,0,17.27
82,Montepuez,MZ,2022-02-06 15:37:34,-13.1256,38.9997,71.49,91,17,1.12
83,Mar Del Plata,AR,2022-02-06 15:35:17,-38.0023,-57.5575,66.22,100,75,20.0
84,Hobyo,SO,2022-02-06 15:37:34,5.3505,48.5268,77.14,68,16,13.8
85,Dingle,PH,2022-02-06 15:37:35,10.9995,122.6711,75.31,87,42,8.88
86,Innisfail,AU,2022-02-06 15:37:35,-17.5333,146.0333,72.68,89,60,5.01
87,San Jose,US,2022-02-06 15:35:15,37.3394,-121.895,56.21,69,20,0.0
88,Garowe,SO,2022-02-06 15:37:35,8.4054,48.4845,80.67,32,100,14.07
89,East London,ZA,2022-02-06 15:37:36,-33.0153,27.9116,74.34,88,20,23.02
90,Seymchan,RU,2022-02-06 15:37:36,62.8833,152.4333,-40.43,100,44,0.74
91,Margate,GB,2022-02-06 15:38:36,51.3813,1.3862,52.88,64,78,35.7
92,Saint George,US,2022-02-06 15:36:38,37.1041,-113.5841,43.36,55,0,0.0
93,Port Blair,IN,2022-02-06 15:38:37,11.6667,92.75,80.64,83,20,5.75
94,Comodoro Rivadavia,AR,2022-02-06 15:38:37,-45.8667,-67.5,76.86,33,0,9.22
95,Porto Murtinho,BR,2022-02-06 15:38:37,-21.6989,-57.8825,89.56,46,98,7.36
96,Provideniya,RU,2022-02-06 15:38:37,64.3833,-173.3,-3.05,79,0,9.04
97,San Cristobal,VE,2022-02-06 15:38:38,7.7669,-72.225,68.18,64,91,4.14
98,Sabang,ID,2022-02-06 15:38:38,5.8933,95.3214,80.35,81,100,15.55
99,Tasiilaq,GL,2022-02-06 15:38:38,65.6145,-37.6368,23.16,63,100,24.63
100,Beloha,MG,2022-02-06 15:38:38,-25.1667,45.05,74.86,92,100,21.7
101,Tiksi,RU,2022-02-06 15:38:39,71.6872,128.8694,-17.59,99,100,3.33
102,Lavrentiya,RU,2022-02-06 15:38:39,65.5833,-171.0,-12.39,91,5,6.78
103,Pisco,PE,2022-02-06 15:38:39,-13.7,-76.2167,69.85,83,99,9.22
104,Ribeira Grande,PT,2022-02-06 15:38:39,38.5167,-28.7,64.8,77,20,19.57
105,Nhulunbuy,AU,2022-02-06 15:38:40,-12.2333,136.7667,75.81,94,100,3.44
